Rank,Model Type,Model,1mhp,1mlc,1n8z,2fjg,3gbn_h1,3gbn_h9,4fqi_h1,4fqi_h3,4d5_her2,5a12_ang2,5a12_vegf,aayl50,aayl49,aayl49_ML,aayl51,aayl52,Avg. Spearman ↑
1,Geometry/Physics-Aware Sequence Ranker,D4-PAR1_IF10,0.224539,0.075645,-0.045286,0.036242,0.703226,0.687746,0.636949,0.462748,0.354698,0.129628,0.216320,0.151143,0.417551,0.280275,0.378667,0.261360,0.310716
2,Inverse Folding,ProteinMPNN,-0.02,-0.21,-0.17,0.46,0.59,0.64,0.61,0.42,0.32,0.13,0.54,0.19,0.4,0.34,0.32,0.23,0.3
3,Inverse Folding,ESMIF1,0.01,-0.31,-0.11,0.49,0.59,0.54,0.65,0.49,0.4,0.13,0.24,0.14,0.39,0.27,0.34,0.25,0.28
4,Inverse Folding,Antifold,-0.02,-0.31,0.16,0.41,0.12,0.27,0.42,0.37,0.34,0.18,0.21,0.07,0.39,0.14,0.32,0.24,0.21
5,Structure Prediction,Boltz-2,-0.22,0.02,-0.06,0.08,0.71,0.56,0.4,0.27,0.03,-0.02,0.31,-0.02,0.02,0.02,0.05,-0.04,0.13
6,Biophysics,FoldX,-0.02,0.02,-0.28,-0.02,0.59,0.32,0.64,0.29,0.01,-0.04,0.11,-0.02,-0.01,0.24,0.07,0.09,0.12
7,Diffusion,diffab,0.24,0.01,-0.02,-0.01,0.67,0.61,0.0,-0.01,-0.01,0.03,0.0,0.02,0.15,0.0,0.03,0.01,0.11
8,Diffusion,diffab_fixbb,-0.09,0.01,0.04,-0.02,0.54,0.76,0.0,0.0,-0.01,0.02,0.01,0.0,0.18,-0.01,0.19,0.0,0.1
9,Masked LM,CurrAb,0.12,0.11,-0.39,0.14,0.16,0.23,0.19,0.13,0.14,0.05,0.03,0.01,0.03,0.2,0.04,0.01,0.07
10,Masked LM,ESM3-Open-structure,0.06,-0.28,-0.12,0.17,-0.24,-0.22,-0.2,0.03,0.25,0.16,0.13,0.09,0.39,0.12,0.26,0.22,0.05
11,Masked LM,SaProt,-0.15,0.25,0.11,-0.21,0.53,0.6,0.48,0.28,-0.34,-0.08,-0.14,-0.11,-0.27,0.11,-0.17,-0.27,0.04
12,Masked LM,ESM2,0.2,0.06,-0.13,0.14,0.23,0.38,-0.02,-0.02,-0.2,-0.07,0.2,-0.03,-0.04,-0.14,-0.11,-0.16,0.02
13,Graph Model,dyMEAN_fixbb,0.15,0.01,0.0,-0.02,-0.02,0.0,0.04,0.02,-0.02,-0.01,0.02,-0.01,0.02,0.02,-0.02,0.02,0.01
14,Autoregressive LM,ProtGPT2,0.14,-0.21,0.15,0.17,-0.39,-0.18,-0.2,0.0,0.05,0.08,0.18,0.02,0.06,0.05,0.1,-0.06,0.0
15,Masked LM,ProSST,0.09,0.02,-0.26,0.08,-0.3,-0.07,-0.07,0.1,0.07,0.16,-0.06,-0.02,0.13,-0.01,0.11,-0.03,0.0
16,Graph Model,dyMEAN,-0.08,0.02,0.0,0.01,-0.02,-0.02,0.03,0.02,0.03,0.01,0.01,-0.02,-0.03,-0.01,-0.03,0.0,-0.01
17,Graph Model,MEAN_fixbb,-0.07,0.01,0.16,-0.12,-0.2,-0.04,-0.36,-0.21,0.06,0.02,0.34,0.01,0.06,0.02,-0.05,0.02,-0.02
18,Structure Prediction,AF3,-0.54,-0.17,-0.16,0.09,-0.05,0.13,0.05,0.05,0.02,-0.11,-0.01,-0.01,0.23,0.0,0.07,0.01,-0.02
19,Biophysics,epitopeSA,0.08,0.09,0.17,0.02,-0.26,-0.2,-0.14,-0.15,0.0,-0.03,0.12,0.01,0.05,-0.18,0.02,-0.18,-0.04
20,Graph Model,MEAN,0.01,0.01,0.15,-0.12,-0.24,0.0,-0.6,-0.28,0.02,0.01,0.16,0.02,0.07,0.02,-0.05,0.02,-0.05
21,Autoregressive LM,progen2-large,-0.01,-0.28,-0.21,0.26,-0.76,-0.62,-0.45,-0.32,0.07,0.15,0.09,0.11,0.26,-0.11,0.2,0.2,-0.09
22,Masked LM,AntiBERTy,0.04,-0.13,-0.24,0.01,-0.72,-0.75,-0.38,-0.2,0.13,0.17,0.02,0.04,0.21,-0.14,0.22,0.01,-0.11
