dataset,row_id,sequence_sha256,log-likelihood,d4_par1_if10_policy
1mhp_LC,1mhp_LC:0000000:4ab241a00bba,4ab241a00bba3b1c0fbe67e1a177fc4172a9a60836b0b7404fee27575d09095b,0.3235294223,d4_component_default_guard
1mhp_LC,1mhp_LC:0000001:0d68f065f7bf,0d68f065f7bfd1ce40ec76bbf49cc4ce46363b455160c3bce77df4e697032f3d,0.1911764741,d4_component_default_guard
1mhp_LC,1mhp_LC:0000002:4772f40eda13,4772f40eda135608dcc1f1b796fb9d11d0665cd7e18ded457524aeeb8f0d168e,0.2647058964,d4_component_default_guard
1mhp_LC,1mhp_LC:0000003:c8cfe511d469,c8cfe511d469064e8516d609e85eeb8d83672edf444d73cd331ad850f00aabd3,0.3088235259,d4_component_default_guard
1mhp_LC,1mhp_LC:0000004:78e8c5bebeae,78e8c5bebeaecb865e2c55ce6f42f0c1656b147155bd41f74328c746ea22ed62,0.1764705926,d4_component_default_guard
1mhp_LC,1mhp_LC:0000005:5ec8434019b5,5ec8434019b5d302a377f246a3acfdb34993eb4c081de5bc406c8088b3d60a8a,0.2941176593,d4_component_default_guard
1mhp_LC,1mhp_LC:0000006:a4ecbc7d56f8,a4ecbc7d56f87528b3f9ded2c0bc1abb2894b16f1dfa8948ef5d5351b44fb361,0.5882353187,d4_component_default_guard
1mhp_LC,1mhp_LC:0000007:1c719a8bd7d9,1c719a8bd7d9fce0ffdd6933fdafa8c90940f4da4aa6ede8481f886ca689bc7f,0.5441176295,d4_component_default_guard
1mhp_LC,1mhp_LC:0000008:fe5d4f82693c,fe5d4f82693c1ae2bb43423c8049d4f95da3744b33a52fca7eaaefc6cb76e730,0.8823529482,d4_component_default_guard
1mhp_LC,1mhp_LC:0000009:7b951dda2a04,7b951dda2a0473a7c0e1cdca9f5f3c8709c53c60b2a3f4901ad933aa4768c8e5,0.7205882072,d4_component_default_guard
1mhp_LC,1mhp_LC:0000010:25e18ccd260a,25e18ccd260a42d8db6ee00b1290299f8e1e6a7040473df7cd1484cc55cd9e5d,0.6617646813,d4_component_default_guard
1mhp_LC,1mhp_LC:0000011:4961838ea2cf,4961838ea2cfe5168cd446f6c1f1ce976f7ba1a4467fa6e0ca26c37a0a689e6d,0.8088235259,d4_component_default_guard
1mhp_LC,1mhp_LC:0000012:0c44bbc694cd,0c44bbc694cd912a9d5e935ff59a9096a900b0dca59dc36726db3be927b4db3b,0.6176470518,d4_component_default_guard
1mhp_LC,1mhp_LC:0000013:6f7146740192,6f71467401923dd0e2218082c8bab7d27acaaa8c85e35cb27c8b31d383e54da1,0.8529411554,d4_component_default_guard
1mhp_LC,1mhp_LC:0000014:6c654643fdff,6c654643fdff1b25b25a59d756a280756ac3886deb2b3bf8995a1d77d81e2b33,0.75,d4_component_default_guard
1mhp_LC,1mhp_LC:0000015:3d3c44fb57bd,3d3c44fb57bd1d151d15595cfa519644d48e583f74ae3d171bd91e05dd668bab,0.3529411852,d4_component_default_guard
1mhp_LC,1mhp_LC:0000016:dd9e7d935d9e,dd9e7d935d9e2aa9ecec1f9a0b272403cdb0c79b382ae2567def9f2934380b1d,0.02941176482,d4_component_default_guard
1mhp_LC,1mhp_LC:0000017:f6c60b398147,f6c60b398147004efa9267173294ee21e821f549761a841161eaa722aebf7d4b,0.04411764815,d4_component_default_guard
1mhp_LC,1mhp_LC:0000018:d03e7e255dec,d03e7e255dec0c894eaca982d109b14978c970b45ddd30b2e209c6ae043ce1bd,0.05882352963,d4_component_default_guard
1mhp_LC,1mhp_LC:0000019:cbe349aee373,cbe349aee3736c0f262f149ef80486c4ce09cd5c2ac3dcc7631de58dc941ed0d,0.25,d4_component_default_guard
1mhp_LC,1mhp_LC:0000020:491590b89d2e,491590b89d2e9e6564ee3479ccf29de690fee36fa451570bbec4ed58ba021d9f,0.1029411778,d4_component_default_guard
1mhp_LC,1mhp_LC:0000021:fc8c09673d9f,fc8c09673d9f637c4306cd2a870565f7893a2b2e4556cc7be6f626112ca9b075,0.08823529631,d4_component_default_guard
1mhp_LC,1mhp_LC:0000022:89c209cea52a,89c209cea52a7043f6e7f03f34ce08e692e8a40fd1f06f5bcb75020e7852bd15,0.1323529482,d4_component_default_guard
1mhp_LC,1mhp_LC:0000023:746b52383f9e,746b52383f9e808bd67b0a11c5c3a3ed43d5bd0be70f3400757bc30cfddc5826,0.0,d4_component_default_guard
1mhp_LC,1mhp_LC:0000024:e62e31b105f0,e62e31b105f08acf36342b85ca729d76aac1018a6c44f0833216fbacd839f3ba,1.0,d4_component_default_guard
1mhp_LC,1mhp_LC:0000025:95abdfe1bc90,95abdfe1bc90feb7eaa2e7c06fd87054aa992720adb361e7d72c22cf4f80c9ed,0.8382353187,d4_component_default_guard
1mhp_LC,1mhp_LC:0000026:9fcd4dc32390,9fcd4dc323904e4a61098fc250fac5edb0f855dcc4dd9af640153c27a6c34cc7,0.6470588446,d4_component_default_guard
1mhp_LC,1mhp_LC:0000027:e51f27839ebd,e51f27839ebd49066e96bda9c81cb18e2bf23b75be6ae91f34b8a65c0873f91b,0.6323529482,d4_component_default_guard
1mhp_LC,1mhp_LC:0000028:4ddc14cc3b40,4ddc14cc3b406beec474f3a8cfeee6186b59f6a24d1410940498cf50abce1fa6,0.7058823705,d4_component_default_guard
