dataset,row_id,sequence_sha256,log-likelihood,d4_par1_if10_policy
1n8z,1n8z:0000000:0aec5d9d80ef,0aec5d9d80efeb992dfce3acba78232a9e8a37103d91611599184c9690f37b47,0.9505582452,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000001:39653c07ffbb,39653c07ffbbf602bf02147a034983b71d0da5c190384bde2dc1b66d1f89b183,0.1068580523,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000002:6020cf7f14b2,6020cf7f14b2b8439495f042d030e58d38e17913a41e04ccfdd79a83d0a8db78,0.2998404801,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000003:61a1778dd83a,61a1778dd83abb91a443bc65ad8bd984957772724f73e2adf278f88a45d19519,0.6834130883,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000004:765f4687734e,765f4687734e24203ab64ebed5f3201f513aba2b1009cf9df1f4b3ac6090fd66,0.8476874232,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000005:1e9848857587,1e9848857587c42d8136191d0812164279e48c6ece90914a200499a0742aa858,0.8915470243,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000006:0dc26ecf15f8,0dc26ecf15f8625bb587dc53097ebaf2843a72af17fae4bff27f7cd7352b29b6,0.1850079745,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000007:e86d59ac1d8c,e86d59ac1d8c84acf5f23aefc237c65bf637907411be73c1ed97e29155e8a088,0.7248803973,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000008:2260053261f3,2260053261f3fde1ac2ad17be13e23a28d59e008500cc43b7595290869164d97,0.1706538945,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000009:d946c6e9c247,d946c6e9c2472d7307ffe53d677b79ba77d4023c39432c035d2fd9ca8a2e5a2b,0.2488038391,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000010:284f9637aafb,284f9637aafbd408aabe0154a53e7efcdd9a3241c0a08748d5bc61e724ffb8c1,0.3349282444,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000011:4a0dc3733c6b,4a0dc3733c6ba1c6622dbccfaff553c4a9ae16d7fb1638ba2c4d281c0722d9d7,0.2607655525,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000012:b2fb23fc5529,b2fb23fc55294dc34211d8e716f9280d882294d9a07779130ea9904fb49329e1,0.1698564738,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000013:4c7d6f27bf80,4c7d6f27bf8061b143ab3b44330b7de6ccfab36249bec31bd870e246fc5d847a,0.8229665756,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000014:a84391760fd5,a84391760fd5e4744c39ea4d12d281f6bbad4d6277a0dd0322d162a261d2fd29,0.9370016456,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000015:d10a933d98ff,d10a933d98ff4e237ebec8a1942ce33e44fd793911f54223b9e040c00d32a1a2,0.1802232862,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000016:b5870e453bce,b5870e453bce6c3a497060ff3081cd84d60d9d11f28652c0088c1378a7cb994c,0.232854858,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000017:6828f0a9f18d,6828f0a9f18d2bb3b4b178a4d56bf4d64e2bb869ed8d80c90f79ac926be862b6,0.6531100869,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000018:a74b36d0130a,a74b36d0130a2ceef44b77856ebf9e5eff76480ca8906d27b0dc903368151143,0.4306220114,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000019:bcbd7307e65f,bcbd7307e65f20842571c737f055c9e790675af52d8240fb76b27a4323077470,0.6937799454,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000020:c1b4433ed740,c1b4433ed740079968a4dcb938734fc990f71000f31871d8db3ca6ba7ec5ef2e,0.8899521828,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000021:b6b634fb0d52,b6b634fb0d5283bf257f59f9b85a9cab8f3ece5fb76256201cd6b448f1f8687a,0.9553429484,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000022:87a7741c0abf,87a7741c0abf83ce9f1e45c5b3404d45947593ebf3c006b6b70de18a07dd3fbd,0.5558213592,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000023:a5b1cced1948,a5b1cced1948e0bfcfd83d29ead0094afc1a0274c30b5b26d1ca783a02ac274e,0.5598086119,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000024:a2e34e0756ce,a2e34e0756ce0c7f9f514faa6f45fa121ee3d4c87db1b90617e5da98cdbcd30d,0.5909090638,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000025:e840252b98f5,e840252b98f54a1605e1f91c38b62cfb8684b5adcffcbc329b16157e8478cb93,0.5151515007,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000026:f62c1d084ab4,f62c1d084ab43f7a45d6dffa58c9dde63790e8588ce4049f7c574362ef24f855,0.5925039649,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000027:83e62685c8ab,83e62685c8ab016e931ca1e4b0b0bd1ed52130a89990a3e60552b6d1e1a87074,0.494417876,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000028:892a941f039c,892a941f039ca84558de35451bfcb39ddbec6d7174ce5b231c9ad2e74ded5f58,0.5047846437,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000029:6c71c46e8d96,6c71c46e8d967c78160f7ddc92a99ee3f907a27113fe0b5d352c14c214a9fcb6,0.5972886682,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000030:39ffdc0387c4,39ffdc0387c4a55b4ab08c7afa464e65fab848714d8e52d1f36b3dc88fca4eac,0.4194577634,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000031:2405112bf755,2405112bf755c9f4cb3f2b852efff1180294a528da6c46f1a5d9bd5965c2b54d,0.3444975913,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000032:aa42e96b4f72,aa42e96b4f7277fb561a69bbb750f0b1af156560f144e68d594401c5b6e84225,0.3628388941,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000033:c5a803f634d0,c5a803f634d0f3655f7f0add61a67af878f90e8e7c782fa0f8f9c26f0988bfcf,0.4162679613,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000034:dc109b72b4e9,dc109b72b4e9b944de88c12c46f17b070d55374288437d30255db439b846be04,0.292663455,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000035:4bbf7caca02e,4bbf7caca02e65d2f2884a23840c01649f767ded68ba661ed3c8a38e2d92c9f0,0.5845294595,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000036:1e8ca2425a0e,1e8ca2425a0e66f743770b57673f8cf0e145a90dc0c4a1885b37dc9c0fd198c1,0.7822966576,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000037:ac62fc547f17,ac62fc547f178c072e60cda3f066b2764090f8bc79191a7ec3d36ad4cdc2d6fe,0.5055821538,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000038:d7a706eddeb7,d7a706eddeb7cca7eb6d7dc03941082507b2f7fe394bfafe91ff28f50d229d0b,0.7974481583,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000039:6ce35ecd3b1b,6ce35ecd3b1b1e592034fd925fdcd929e0b9213fcc4c6c4b76d37ae8e8627b1f,0.4593301713,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000040:653066724065,65306672406501996614b48e3b15d9f0a6ef2d242d113694154f9041cbdc9876,0.2480063885,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000041:69e51950ef9c,69e51950ef9c9883c8011d3593f0420fd80315f46c48580ddc581e3bc89b0717,0.8086124063,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000042:df1bdbc2cbe2,df1bdbc2cbe2274f77afbe048fcb3fc947e4cc4f700c84ee1a8e3c60330a6064,0.6475279331,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000043:5f2c2b9b90d2,5f2c2b9b90d2372f1615e2dadf54f186361763847b0e4f1fb649d665238856f1,0.6012759209,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000044:d819682adada,d819682adada8c52769ab5bcb4e2d3ea4a70cc6df7911516d8b0054ea39bfb0e,0.5502392054,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000045:77aebe811aac,77aebe811aac296aef5b3c77f298f7843a7f1592232f61a4df048e0461a4b586,0.2918660343,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000046:c3a23ab028e0,c3a23ab028e097598de81ba0c0063f2c078e7c4e72e149502b1773e429fd7d9f,0.5598085523,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000047:78dfe4089e5b,78dfe4089e5bb4702ba42e594773efa29f854bef95c4471fab7f7dac884b90dc,0.5358851552,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000048:7774f6d90415,7774f6d90415bfaecbe227b1b32904020b8acffde8b906ae21e745bb874a9e51,0.5685805678,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000049:98f1645eb2bc,98f1645eb2bc0f4030b785e5581a21e9d420c5267c8fb44a3a0bcf4a981929f8,0.5988835692,if6_consensus_when_public_priors_concordant_with_d4
1n8z,1n8z:0000050:3b487b5ceadc,3b487b5ceadce9565c8503bba34db3af15dddc3b881e3c33e738b43855f844e1,0.5733652115,if6_consensus_when_public_priors_concordant_with_d4
