dataset,row_id,sequence_sha256,log-likelihood,d4_par1_if10_policy
2fjg,2fjg:0000000:9d52b3ead778,9d52b3ead778ff703e8d7dafd3d05fba7810a96359c6f0081a75191158d49ab0,0.9927992821,d4_component_default_guard
2fjg,2fjg:0000001:28596253e320,28596253e320cde7a5692a33db50490390959c7512b296f19e1284b2ff6190f1,0.9779477715,d4_component_default_guard
2fjg,2fjg:0000002:f77658836086,f77658836086271d5bf7b3d256179ddb0eb832e146c01da8cbd1473c8fef1d93,0.9500449896,d4_component_default_guard
2fjg,2fjg:0000003:cfa572c46fc0,cfa572c46fc0efe684d7cb9948f51b7ec9318e66abc5ec0ca064af2a3f63938b,0.9653465152,d4_component_default_guard
2fjg,2fjg:0000004:3f81cd5cfdab,3f81cd5cfdab347d549ee01d626b445ced497cc46908fcef28bdd2c2ad464ec1,0.9738973975,d4_component_default_guard
2fjg,2fjg:0000005:ff2594e7eb00,ff2594e7eb00d138ff85111f508e6b9ab2272f24a3fd1c4d10aee455e32a0775,0.9855985641,d4_component_default_guard
2fjg,2fjg:0000006:c38df7809318,c38df780931887028b9a7b619f28c7806c9effd0f4cd7e6165b71681c78ff3cd,0.9684968591,d4_component_default_guard
2fjg,2fjg:0000007:29bab5f49964,29bab5f49964bd508ea84f8b5a87a4bf36836c684a3d46d9119a6591d50ad1b3,0.9864986539,d4_component_default_guard
2fjg,2fjg:0000008:ec82b957f1fe,ec82b957f1fe2be702a03979f768db810e29e1b4d227e0dc51b7b7a46b4a59a4,0.962646246,d4_component_default_guard
2fjg,2fjg:0000009:d402eb44085b,d402eb44085b28061c90d018e2af6dd1da6695563bb6ca90061c2ac9cdf15f20,0.9846984744,d4_component_default_guard
2fjg,2fjg:0000010:b59648cd6eae,b59648cd6eaeade42f42698946f8574cc4ec2f2d6b43a8cc292521e5a37f61eb,0.9261926413,d4_component_default_guard
2fjg,2fjg:0000011:22ad6d463466,22ad6d4634666e7c51f88ca20d3f38163fc0973c13f2fe118d5289ea0b61c56a,0.841584146,d4_component_default_guard
2fjg,2fjg:0000012:aae03a0c2f90,aae03a0c2f9006b0293fbae351af5fce89af9a4994ac1933635a4ef8636f26f1,0.9770476818,d4_component_default_guard
2fjg,2fjg:0000013:d7b2706c266e,d7b2706c266ed8e05355a5107a7cd04088425b3e8c398c9e38222491ab8f01af,0.9243924618,d4_component_default_guard
2fjg,2fjg:0000014:8abe58bb700b,8abe58bb700b8ce2b590cd80a0d383c80adc11de327da951c37d4e73c9ba5130,0.9644464254,d4_component_default_guard
2fjg,2fjg:0000015:73a05c27ce6f,73a05c27ce6f514be3eb84d03f1349679159db19644432232ac696ea025d35ad,0.9585958719,d4_component_default_guard
2fjg,2fjg:0000016:b7a60b52cb4d,b7a60b52cb4d3693f5e379efd2094e8b47078cd424a98dc87d3dadd261600fb9,0.9558956027,d4_component_default_guard
2fjg,2fjg:0000017:fe92d9d14120,fe92d9d14120c8d41e9d78ae7a5d37b5d2df4e0301f51c671c7d31a53e810a0d,0.9909991026,d4_component_default_guard
2fjg,2fjg:0000018:f8dff74ee6f5,f8dff74ee6f5d2fee03b386ff30788b6cfccc03a7ab0664ee1f7a0bd3dc2baac,0.9540954232,d4_component_default_guard
2fjg,2fjg:0000019:4db11b30a95c,4db11b30a95c889dac0fea277de4daef76c6c6d13af74fb543a4399165a1e128,0.9959495664,d4_component_default_guard
2fjg,2fjg:0000020:7b5148f98897,7b5148f988970ae989cfcaf5d8ebbace8c2b6b8047a10449ede7782e2a198f42,0.9828982949,d4_component_default_guard
2fjg,2fjg:0000021:1f881f642ac5,1f881f642ac55ebf64a369b40261ad87eeceec14749088ec78c73cc169f9c409,0.9576957822,d4_component_default_guard
2fjg,2fjg:0000022:b993edc20b3a,b993edc20b3aa8edb5eaf8b4ef8f00e96eff1e0e642edc24b1e1d95c882592ad,0.9662466049,d4_component_default_guard
2fjg,2fjg:0000023:755af0b70eff,755af0b70eff098eedc23c480eb07d4f0d0ca57f5562f6317deca4aaf6e0df16,0.975697577,d4_component_default_guard
2fjg,2fjg:0000024:0f05c48331d6,0f05c48331d6e2c6e7ed271a611d7dc164bfba6b535e7d90877c09c3171b07d2,0.9936993718,d4_component_default_guard
2fjg,2fjg:0000025:cf573a39684c,cf573a39684c80b297e188638e940aeb9730f98c736388ba7bf20ae6a4001c58,0.9783978462,d4_component_default_guard
