dataset,row_id,sequence_sha256,log-likelihood,d4_par1_if10_policy
3gbn_h9,3gbn_h9:0000000:296ebff95a6f,296ebff95a6f92264f69c6079e96950df6fa4569afb4741df1da3b9217e786a9,0.2663407524,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h9,3gbn_h9:0000001:715548fefd81,715548fefd8154e5648de117a92920761f7915a9a4f89d8d06e6c03c35460ff0,0.3825819294,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h9,3gbn_h9:0000002:a251db87cb38,a251db87cb38f5cbb0a4df529711b320b2a21ae27119adbf63546ea6c4fe2221,0.2017019739,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h9,3gbn_h9:0000003:603de4242aa9,603de4242aa92e3cf9ed57a1085d864f005a5f604da71607b358479e71273f81,0.3029150814,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h9,3gbn_h9:0000004:e0d620d3eded,e0d620d3ededf537f31973503c96670956a23a72bd1ec9220b29cc5a9ded35ba,0.2801013986,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h9,3gbn_h9:0000005:ac9af966e25f,ac9af966e25f9acd2269d2ea1ddae85878413adcba63f25d3c3b7271f5003adc,0.2583740751,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h9,3gbn_h9:0000006:6b62c463b971,6b62c463b9718ed7dfb9e91cd70a254ccc2d045664667807b4600b3945abb8af,0.1549882305,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h9,3gbn_h9:0000007:b9c16945d2fd,b9c16945d2fdacb0a7ff7e6c3a92e8db49e46e543d990028cd77083a9e929328,0.2491399571,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h9,3gbn_h9:0000008:004e73f4e135,004e73f4e135c0b6d515dedbcd74f8a2baef27a8362249fc8fd290e52ecfa758,0.3090711484,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h9,3gbn_h9:0000009:b4f2f4a68d59,b4f2f4a68d59b701b8c215696eb802ebd48c2958a3a52e4038a74e1d2322192f,0.3923592269,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h9,3gbn_h9:0000010:791a7e9c3e99,791a7e9c3e99e574f253812fbef739c47225ef0659c4ec33186a317b2889fbe3,0.2545717954,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h9,3gbn_h9:0000011:6b9a7afba896,6b9a7afba8960dbbd093143a266f72ab2ffc5de748343165054db9303f71db61,0.5527792871,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h9,3gbn_h9:0000012:31bb471851a2,31bb471851a246a450a74eb3d31cdf98c7e26eeace41bb15268f1389328058d2,0.3726235678,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h9,3gbn_h9:0000013:243254a57319,243254a57319217c13c3091ab4a88b39c01a39da659087846bcecea996d8a7a8,0.6536302765,if7_legacy_anchor_when_all_sources_strongly_concordant
