dataset,row_id,sequence_sha256,log-likelihood,d4_par1_if10_policy
4d5_her2,4d5_her2:0000000:59a6084dec45,59a6084dec454cbbcf8c260cd8f62c9a2b5843dfc7d14f8602f1c07cb269f0cd,0.5154722333,if6_consensus_when_public_priors_concordant_with_d4
4d5_her2,4d5_her2:0000001:b1d9b12369fa,b1d9b12369fa6cf4ed8c3ebdb441aad428fafcb9589c8e74e5e43a501339feee,0.815776825,if6_consensus_when_public_priors_concordant_with_d4
4d5_her2,4d5_her2:0000002:d9527b41f279,d9527b41f27910ca14c5ae48188849d1494b9ee2fe5634d47483efb241bba28f,0.9599165916,if6_consensus_when_public_priors_concordant_with_d4
4d5_her2,4d5_her2:0000003:174dd51d9139,174dd51d913988e9faf75ff3fbf8a87c07144124d07162bd674e512ba647be74,0.8993105888,if6_consensus_when_public_priors_concordant_with_d4
4d5_her2,4d5_her2:0000004:e441549b6894,e441549b68946bafe21b4827c9f1d9eb57719ef1b667e455d3218f00b97ccae7,0.9519000053,if6_consensus_when_public_priors_concordant_with_d4
4d5_her2,4d5_her2:0000005:dcf00a789ee9,dcf00a789ee91f375e44f0631f50fa8a0fa66469a8d9947a2b49aa80e43c0b11,0.9687349796,if6_consensus_when_public_priors_concordant_with_d4
4d5_her2,4d5_her2:0000006:13810f5cde21,13810f5cde21d3ced5a8b209229ed809e18322086234f4b12848da0165e07458,0.2441879064,if6_consensus_when_public_priors_concordant_with_d4
4d5_her2,4d5_her2:0000007:b2003e9889de,b2003e9889de71c4d23aaa5f0e54fb9f563f5417550ff7158423988f52b59d4c,0.9037999511,if6_consensus_when_public_priors_concordant_with_d4
4d5_her2,4d5_her2:0000008:57019e5aa96f,57019e5aa96f5a731c02b11aa6928fccdcc2293cc2449227552e7da4b36baad3,0.9180696011,if6_consensus_when_public_priors_concordant_with_d4
4d5_her2,4d5_her2:0000009:256d006772ac,256d006772ac90e8cd6f3977d7c7509fd6a6fa1c6eb2bfefa17fe92ecd3a059f,0.3825557232,if6_consensus_when_public_priors_concordant_with_d4
4d5_her2,4d5_her2:0000010:08ad96b267b4,08ad96b267b480499eb4fa66398954a396f3c65a55700e09c451ebbf7dcbd26b,0.6320345998,if6_consensus_when_public_priors_concordant_with_d4
4d5_her2,4d5_her2:0000011:0aa3b3c64db7,0aa3b3c64db7de3172addfc81eaa68c890e44fad55097c78b53f76461dc4c11e,0.4003527164,if6_consensus_when_public_priors_concordant_with_d4
4d5_her2,4d5_her2:0000012:245cf6f25bbf,245cf6f25bbfeb47244991c28e110b3e67124e357c041c6520f32710b5ad32dd,0.5730319023,if6_consensus_when_public_priors_concordant_with_d4
4d5_her2,4d5_her2:0000013:38ca883f1fbf,38ca883f1fbf7e990937dd0f110c8f573334c0ee4d1ce51d4d9306406d3a3e90,0.3469617069,if6_consensus_when_public_priors_concordant_with_d4
4d5_her2,4d5_her2:0000014:8ca3fd20b5e0,8ca3fd20b5e02d7e62986eba357ccee09998a5bd1385bd2eb99ee9bf8f991ae2,0.4763507843,if6_consensus_when_public_priors_concordant_with_d4
