dataset,row_id,sequence_sha256,log-likelihood,d4_par1_if10_policy
4fqi_h1,4fqi_h1:0000000:7f8d1515ff11,7f8d1515ff11aab96573d4704674e63bab086a5cb0f0ad7b82419ba6946b61d8,0.7785630226,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000001:7bbdff61b22f,7bbdff61b22f0d9c784b59f6ecd00c42d81d9ffe55ab3eda87635625eefa3659,0.7603812814,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000002:435b5ee53fe3,435b5ee53fe32567a3a6d752d7e842e4e7757ceb80c9d41235232df0e46d2ff5,0.9067046642,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000003:18981780fbcc,18981780fbccec61b44f7fb1d92e5e26c81eaa08aaa6b56211d7d1725e1ac1b7,0.81711936,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000004:b585bbabbc2d,b585bbabbc2d9ae079b0d055cbf8266655f3e23e64b1ae9cfe48caa828ac1579,0.7128896117,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000005:f633f1299e67,f633f1299e679802558435c0bb62645c6e90c8419f359c65a00726475b71e654,0.9616471529,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000006:53ece2671a7d,53ece2671a7d5cf3de4abaf611a7785e7590faed767f5762f457f5f4565782c5,0.6304633617,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000007:64f4ec50e598,64f4ec50e598ad4c2495a37d34fe61d7a810fb4aa4fbaf11b2d0cf8e5ee3ac64,0.5664510727,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000008:98069e0f330e,98069e0f330ed4c5ced9bf10c9962f20a5fd80054c687550f281d557f6535378,0.820314765,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000009:0caf48feb926,0caf48feb926efc7ac0fde0b4d35e6771c000694c8e2f20ce5b4264af0ff872a,0.781101644,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000010:e591e164edaa,e591e164edaa5929c345fa4b46ed07cc0fc760ed322f1109737ba333218b5f4c,0.7733703852,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000011:11df85672a4c,11df85672a4c90f93b7ca7a79007aab6f9699ea89130b2f276e426e34cac372b,0.8830193281,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000012:f268bc108f95,f268bc108f951c9a7da6cb6bc7470f032f729882bfc142ca432d2fe5582438dc,0.9122178555,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000013:694b13c0b3e9,694b13c0b3e969cdf6bf46bab7a5bb3930d02d416e337a9365bb266deb4367f9,0.911442101,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000014:71654fd7c7fc,71654fd7c7fc0dab34de84a05dcf83f10b2cad098b33b3308499ce2d22007b36,0.6965591908,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000015:491a18e1c593,491a18e1c593f21e49cd881b52bdac0dd13d7f5ee5857f993ea9e5f80c14bb3e,0.9596846104,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000016:801da89855a6,801da89855a6f8640104449e9f4c484fa44c09daf3362d606010f36b09448275,0.8534097075,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000017:21cdcc08b465,21cdcc08b465aff8e35c4699768d6dfbfde4bb5463c787e18cf7c283755ac84b,0.9404582977,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000018:87e9ca6ed0a8,87e9ca6ed0a88ec7bda62435ab7160c1ddcd05c7ca302688df86e7397f83f220,0.7620328069,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000019:19836aa88914,19836aa88914d8f3a7502e52a75d471da382ecd8bded0103a3486e533ac706ca,0.8391820192,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000020:cc419d41c7d0,cc419d41c7d0e3cd8c33cb9b150dbbb65d3e6f1cd4778996c53d5db3f024d68e,0.9378926754,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000021:6712982475af,6712982475afe615d7f168eae4c20351ccbff6e7e7f9e98174b5809ffed6af50,0.8340105414,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000022:856b5f119a8d,856b5f119a8d3f338063027d3555ff4a51762a3323d417a77edffd663fe630f5,0.719240129,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000023:8ffa485dccc0,8ffa485dccc0541dede5c2191bea29e9035fa57b17ff8172873defbb7a869c1c,0.6484472156,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000024:d4353e61a8d5,d4353e61a8d5bf4eeabd9008447192f35b87e679784f86692badf86f0e26fb03,0.8233008385,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000025:1dc1862e1c82,1dc1862e1c82ac17005a317f41a57ad31f6f53b059b149f913e920561bd1c47f,0.9509701133,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000026:020eca6cb63f,020eca6cb63fdd7573f53ac5e517bb17a7a055730338286473c73241a5893fa0,0.8236888647,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000027:6ea3e6a4d001,6ea3e6a4d0019e80c1b69a927f1120d67f3b5e7fe0e81e6b5b105afcd1408bb8,0.7423244715,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000028:a27e7141e004,a27e7141e0044d29e01ee67d1082e59425dc2529815d23e872eac5c6eb8d6369,0.8977962732,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000029:4402bbc6642d,4402bbc6642d5300e518e8effbe33bf4ecb972810b36823d361ab07795227174,0.9421174526,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000030:eddad4ad5c1b,eddad4ad5c1b8eeb9afca171660e0d8b9c777b5fc0ac99199143808dc4d33d9d,0.9176140428,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000031:c379912b23b5,c379912b23b5c52a1af956a46fee39b6bd0d80df49e9a464d130f347483dee72,0.9322642088,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000032:fef18c023c39,fef18c023c39b03d3e13b6cfe0c60bb5367532901dcb9b063011a91187ff3559,0.7965986729,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000033:6c5179e1c72c,6c5179e1c72c0b667e3b14c81a66d5cbb005e080f7ba209db0f5fbec299fc2ea,0.8495517373,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000034:d6e31170d897,d6e31170d897f0694eba3c4aae89c2b4d52b78f88511b501fad60328a564b4c8,0.7276838422,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000035:7e97fa017adc,7e97fa017adc0ccf9042394f19363b8aadf36a0164e5275f45a06863cec89d77,0.9661388397,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000036:e276737b5a7b,e276737b5a7b6f927064fa190466510132d8b994af9abe46e2b53c33cae4c7e9,0.9824347496,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000037:e163bd2912dd,e163bd2912ddbd00e2b4ce2ae42ff7437712ea7b4a80bf5045a3d19b324e8186,0.8636508584,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000038:98aceed0a365,98aceed0a365aff3ef640998517f7e898488ce234f0e01f67a491e4fd9a960d5,0.9072288871,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000039:da85576f5f6c,da85576f5f6cb1f437b53b82cf77754898d49e650a8676b5025b17d65af46d4a,0.8635164499,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000040:4beb340f9dfe,4beb340f9dfe42fb6a5a202cef16a387f40789a798ed44cea2f1dedb63de21d3,0.9438015819,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000041:88412d14440f,88412d14440f3913d62f2e1691ca7dab4d76b7e18807b18050f28ed5e76064cc,0.8591246605,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000042:6a9831863db7,6a9831863db74d18f07878ea9f020267de25f8a1964e3f95070827fdcb415a51,0.7901828885,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000043:682e8106a7e0,682e8106a7e09c0bd647c2eeedcc54d5f6bcabb82b78e8d1ac57b015eb33ef8d,0.927818656,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000044:5e8f95081859,5e8f95081859ec4f6d1f8308c5c4c308e48ec8d2a9c03e8af5f4994c10c5c84e,0.8852641582,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000045:5a19ccbb1f16,5a19ccbb1f1645f1666b843cf182eb9e7d85241085b376ff5bfb132b163fae31,0.7607922554,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h1,4fqi_h1:0000046:d7f251740948,d7f25174094884dd0c91563d338e270edb395fda81c8432bb0872b90e92c7a53,0.798517108,if6_consensus_when_public_stable_and_legacy_neutral
