dataset,row_id,sequence_sha256,log-likelihood,d4_par1_if10_policy
aayl51,aayl51:0000000:2e6b05b9ad38,2e6b05b9ad38fbf8b6261f4f7cc4a14144771c2626173b044b583dc8c78287b8,0.9212780595,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000001:acbec1f8241d,acbec1f8241dddb7240967dd72e74de3d6501463650993155d8e7ca7b82f08dc,0.9023693204,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000002:2147b020d99f,2147b020d99f788671409d5f095e1294076816a38f841b304abec6c44ffdd071,0.2280620486,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000003:4202a1ca817d,4202a1ca817d49e5b543346d8070609601f83875b91ddcf27eb8f4e7f8d2a201,0.7421471477,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000004:a85e62764d76,a85e62764d76977485592795564c7da4676dc1e1e5810c0469a4576991b3319a,0.4795862734,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000005:8a8c75f39be2,8a8c75f39be2e80b79630cbe5503752ef1f5a88152cd4886e8ce6a4c29b98a89,0.6228293777,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000006:38618846e8fb,38618846e8fb6dcb16c9ba9eae851a9f1c1b9d6dff0c7f0789509d1ecb09568f,0.3676005304,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000007:2aa6e22f760f,2aa6e22f760f6a8fb04c019cafecd75887e23cb669e8f0538323da043a54b1f7,0.5564559698,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000008:1e34feba3c45,1e34feba3c45ad369fbf95bb132de5ae81ebcf220ecb409e9838cc3d24458f11,0.803735435,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000009:490b8295668c,490b8295668ca5929fd102b9d8693d215a587cbac93c8139359f23034bfdbfcc,0.5263563991,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000010:a59b3de1e163,a59b3de1e1635102f55d8b374cddcee768ccdf45c38943b6940ee4531a9fd8a1,0.7608242631,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000011:c0f2de3191d5,c0f2de3191d5b2712bef6b59f802318220a72807605a4104fb334c94e6205713,0.5551438928,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000012:eaa596e3f940,eaa596e3f94016142a3d8100fc9838adb10e466e2e039786d060c5f595af384c,0.507756412,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000013:4499452a110d,4499452a110d6fa8fefb3693aaa50912db122870de9443d1a645a85b7f61ccc1,0.3528594673,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000014:0e651892cdf2,0e651892cdf2e3059cf5e6e8bbe3430e1eadf1d9c9789b6907652c84fc3c3e2d,0.8363819122,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000015:0f164d767453,0f164d76745382ac1e9073086894ecba0f467e6f870c473aa50005c8b40859c6,0.6343289018,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000016:fd36fe6e784d,fd36fe6e784dedb8a665c294afef21114e824bab3afd89cd3aed6a4987f5b78a,0.649687469,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000017:2a6ac4b98867,2a6ac4b98867a9251171d709c2dc3babb88780e98fb4eff8d2a04c320caabece,0.669290781,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000018:fe7499e05670,fe7499e05670cc08e71cfa6e73d849cddf431d07d52389f900e1080d7015c682,0.8017287254,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000019:2d5a680c3d62,2d5a680c3d6259bcfefdd842db739eb2dfed284527f0f181cf4e9c807a42535d,0.2122404724,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000020:8fbe23a45960,8fbe23a45960876c3ab25ffb66ace6bc1cb6f8fceae5b3287d78cdc5671819e0,0.5921895504,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000021:94c2f1545a02,94c2f1545a020a630d5fda00b5077d8c72f53ec728245a497f23672aa221a6b5,0.3266960084,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000022:8d992ca797a9,8d992ca797a97f9a9e5e87c1a9cf6ceafb7277dd28ce3508a2c8f537fb111923,0.4357490242,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000023:605578084a9f,605578084a9f9968af1a8bc46934f62d26e75d9f91322ebc54f34aa858cd6d0e,0.8074399829,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000024:6c37782c9a2f,6c37782c9a2fcc6200b4ed72055d3a8b94d10c92ce254f656931a2faae3e83b3,0.7519487739,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000025:acf0ec1744b6,acf0ec1744b698e8d03859aa24a793402883be75f1faa1904d411ad8ff10dee6,0.2687350512,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000026:1cafb7dd69a1,1cafb7dd69a171486ed82dd596eb5e4c9f849c71f9e894a5b4928ecf17fc50df,0.4252527654,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000027:d1ee7c99c6ff,d1ee7c99c6ff067521b60a6e0ef0be6ae6275f76424af9fc4180cb9fbed031b6,0.5648683906,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000028:5faf0d712dff,5faf0d712dffc96bf9737c0a83de5d079b123901a663c76f118fa9f16acf5e36,0.6974608302,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000029:7ae86aa7392a,7ae86aa7392a7ff79298e9c3b6e2a8283ec286929b7867c9edb37dbc93ac3a9a,0.6894342303,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000030:edace829f488,edace829f488c326ac2f38755e61bde95019aca30998eb70b22c2f0ac36e1c94,0.665972054,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000031:c4f26ac94595,c4f26ac94595aecbbcab2562b5c11b14fbce43a93ccecab769e3e3906c6e3e20,0.8213321567,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000032:54fe3fa23327,54fe3fa23327015d0fb962d362f1056d62d7924249bb7114b00a9e3623017fd4,0.7520259023,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000033:7b922799f12e,7b922799f12e7b2a2c6ca9b0dc6c4127e41342acf4376431cade747f482553bf,0.5832368731,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000034:2b9d9b22736a,2b9d9b22736a0c858b15f795f4da7ed720278e834d57a1565ac3b41a9bcdc459,0.4869183004,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000035:1e0ec55ca242,1e0ec55ca242885e7841cabe7c7af682788d4380019b4e2d39b2274869e800cc,0.5443389416,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000036:bc22544d91ab,bc22544d91abdfdcb002f871edce631beff2e7278c3c6fa96eb11a8733a2a534,0.7165238857,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000037:1fa6e258c65f,1fa6e258c65f1416d428a1239fa28b8b0b0342f20a20910e29e1c7c17ca70e09,0.7297213674,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000038:a2900b923587,a2900b923587e1d8c159741b9bce4700d733abbaa0a877578fb4a62cc28a08e8,0.7108127475,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000039:373dffa29e42,373dffa29e4286115ae1aa5432a4dc5bbbf0702b604772c8d7d38d901dbe8d60,0.5377787948,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000040:264ec6c44bed,264ec6c44bed4ece68d87c46d8f53cff623d3e124582201d6aaa5954ea349cd8,0.6719148159,if6_consensus_when_public_priors_concordant_with_d4
aayl51,aayl51:0000041:2fa7b99694be,2fa7b99694be1dd9f6e1113b9a5cf07168bcb1356f9eba23de2851801ed64a96,0.588948071,if6_consensus_when_public_priors_concordant_with_d4
