row_id,sequence_sha256,log-likelihood,d4_par1_if10_policy
1mlc_LC:0000000:8e3922de80b6,8e3922de80b665362412d12f61875d121cee44627408a5c2f438d32042ebcd70,0.7650933266,d4_component_default_guard
1mlc_LC:0000001:f7ad931bd0c0,f7ad931bd0c03bf2c17604c735ea1f160394fea1aee20ee26f52055a7ee4b4a9,0.3402853906,d4_component_default_guard
1mlc_LC:0000002:f174f9df4203,f174f9df4203d4f05c25051aa620a5c91f1e0604134809180d650a764b8a2983,0.6619099975,d4_component_default_guard
1mlc_LC:0000003:36859504ac51,36859504ac51409b38a0f0ffddc9fa89ce9a65b5b2f934fd61612b125e932570,0.1580680609,d4_component_default_guard
1mlc_LC:0000004:eab4af576c9a,eab4af576c9a7453120528a2912dd103145d05b2962d49b076e76fac8bf5856e,0.4138309658,d4_component_default_guard
1mlc_LC:0000005:45814eb5c6f6,45814eb5c6f6d36ae174fbd9c1755680151ce8d5209a2f254f0ec3b9f2b0ee70,0.2689352334,d4_component_default_guard
1mlc_LC:0000006:13371b144589,13371b14458969dc4fd4fb07fd128fe3c9176887e646220e9ef3ceeb52b681ea,0.1459934115,d4_component_default_guard
1mlc_LC:0000007:4a119c7545e2,4a119c7545e27cc69f523deab3c8448a7ae4c3ac3e7a4d09d20f4e3a0bac6125,0.9012074471,d4_component_default_guard
1mlc_LC:0000008:b969e604a3e0,b969e604a3e0457db4f415be4d22903732fcab2510c4d8cc75795d6368b068fa,0.1492864937,d4_component_default_guard
1mlc_LC:0000009:2526c07c9bd5,2526c07c9bd5bd497197b40bef9fdaff103d777c5bc4d2addd75ff693baa5e4a,0.257958293,d4_component_default_guard
1mlc_LC:0000010:15e0fd8a10e1,15e0fd8a10e1b499a1ec087c1087c3db05a9c33908d4509198b845130c94baca,0.5290889144,d4_component_default_guard
1mlc_LC:0000011:a10863f4d9a8,a10863f4d9a89337301348abd4c8b99c850824478db14f7e5bbbddb0cabf29f3,0.6201975942,d4_component_default_guard
1mlc_LC:0000012:93be59e90f89,93be59e90f899bf0105bb6461936b8d3751e00bc9cae04d1a2e319a9e82f1531,0.57958287,d4_component_default_guard
1mlc_LC:0000013:5bc93c34489b,5bc93c34489bdfbe6c50b126fb3f569682cec27b612ae39f732d26a68c203b0f,0.5378704667,d4_component_default_guard
1mlc_LC:0000014:227b10b41f5c,227b10b41f5cebbb88ea2b6c90a65225e39c7a2764650bf29bbf048bf0342c8a,0.09769484401,d4_component_default_guard
1mlc_LC:0000015:8d95de5a1de0,8d95de5a1de0dfdd7c5ad591b0e5ca9fd0530971a41964874ba5cdd3ea9e805a,0.02085620165,d4_component_default_guard
1mlc_LC:0000016:222f49d29f3a,222f49d29f3a1cfea591973d1b0bffd088643153d3891f19af4fe24a2952e492,0.8166849613,d4_component_default_guard
1mlc_LC:0000017:f139cf612e1e,f139cf612e1e87ce2eb8cbbff0871396697ff41ff59399168f5f99573560331b,0.4226125181,d4_component_default_guard
1mlc_LC:0000018:1dbe3ffeea57,1dbe3ffeea57412f4c97064a87f078df0e3332cc630574193479966a8fe91bad,0.7815587521,d4_component_default_guard
1mlc_LC:0000019:54dd9859707a,54dd9859707af52c90fdd86b00c3fe0afc75c834909e69172b4e302f3fc6658a,0.844127357,d4_component_default_guard
1mlc_LC:0000020:fbdbe70cdf6f,fbdbe70cdf6f3537ebdd520404117d2cd4559919cdf3592a94a3982aa2962d5e,0.5543358922,d4_component_default_guard
1mlc_LC:0000021:cce4d9a46cf4,cce4d9a46cf43a404aff9df8027a9737d7698b3986cf8ef930f863effbc7a3ee,0.6300768256,d4_component_default_guard
1mlc_LC:0000022:5e6c0953def1,5e6c0953def10990e1e2e790c313edaeb746e7492c1b819b36dac2192f0fcf4f,0.3852908909,d4_component_default_guard
1mlc_LC:0000023:4c9bc3f99f48,4c9bc3f99f4888fbb622fc653095ff31b09deffbb86424a3427a9a64905228d1,0.8364434838,d4_component_default_guard
1mlc_LC:0000024:1eb4f10fb53c,1eb4f10fb53c018fcd51915a1ad106909b0fa8020d78612d2688081969a717e0,0.6333699226,d4_component_default_guard
1mlc_LC:0000025:54588e85bcf6,54588e85bcf6abfb0936bbe2dfb84d8c1e63eed3e9a374d67770501149037884,0.7574094534,d4_component_default_guard
1mlc_LC:0000026:47d71c8a6bec,47d71c8a6bec2249afacf0dbd93207acc9d05bd3b9bc8bd4c72add4d43a8ac0f,0.5883644223,d4_component_default_guard
1mlc_LC:0000027:c4bed18b6054,c4bed18b6054fe988e3d6d06bda665b9c6bcdcfdfd36faf04d121624f66239f2,0.3633369803,d4_component_default_guard
