row_id,sequence_sha256,log-likelihood,d4_par1_if10_policy
1mlc:0000000:78e0688816bd,78e0688816bdd644179894e684f782c4944df254f310d059ef6cb4459b7f130f,0.5024430156,d4_component_default_guard
1mlc:0000001:b38597094e1c,b38597094e1cd5edad3dbfb362820b2c1cf877bf2dd15384accda3e81561bd90,0.9242671132,d4_component_default_guard
1mlc:0000002:8e3922de80b6,8e3922de80b665362412d12f61875d121cee44627408a5c2f438d32042ebcd70,0.5700325966,d4_component_default_guard
1mlc:0000003:f7ad931bd0c0,f7ad931bd0c03bf2c17604c735ea1f160394fea1aee20ee26f52055a7ee4b4a9,0.176710099,d4_component_default_guard
1mlc:0000004:f174f9df4203,f174f9df4203d4f05c25051aa620a5c91f1e0604134809180d650a764b8a2983,0.9381107688,d4_component_default_guard
1mlc:0000005:36859504ac51,36859504ac51409b38a0f0ffddc9fa89ce9a65b5b2f934fd61612b125e932570,0.09690553695,d4_component_default_guard
1mlc:0000006:eab4af576c9a,eab4af576c9a7453120528a2912dd103145d05b2962d49b076e76fac8bf5856e,0.5382736325,d4_component_default_guard
1mlc:0000007:45814eb5c6f6,45814eb5c6f6d36ae174fbd9c1755680151ce8d5209a2f254f0ec3b9f2b0ee70,0.1653094441,d4_component_default_guard
1mlc:0000008:13371b144589,13371b14458969dc4fd4fb07fd128fe3c9176887e646220e9ef3ceeb52b681ea,0.09120520949,d4_component_default_guard
1mlc:0000009:4a119c7545e2,4a119c7545e27cc69f523deab3c8448a7ae4c3ac3e7a4d09d20f4e3a0bac6125,0.7353420258,d4_component_default_guard
1mlc:0000010:fc7856ddfc1e,fc7856ddfc1e2e0461720e1a054c524d29b139a368184c9b6c6afa65179cc837,0.9307817817,d4_component_default_guard
1mlc:0000011:b969e604a3e0,b969e604a3e0457db4f415be4d22903732fcab2510c4d8cc75795d6368b068fa,0.09446254373,d4_component_default_guard
1mlc:0000012:2526c07c9bd5,2526c07c9bd5bd497197b40bef9fdaff103d777c5bc4d2addd75ff693baa5e4a,0.2043973953,d4_component_default_guard
1mlc:0000013:a10863f4d9a8,a10863f4d9a89337301348abd4c8b99c850824478db14f7e5bbbddb0cabf29f3,0.4462540746,d4_component_default_guard
1mlc:0000014:621edac5d3b6,621edac5d3b66c88837e6471d1f334470e50c8a4d64f93a3f8ceda6168e2bf7e,0.8151465654,d4_component_default_guard
1mlc:0000015:93be59e90f89,93be59e90f899bf0105bb6461936b8d3751e00bc9cae04d1a2e319a9e82f1531,0.6718240976,d4_component_default_guard
1mlc:0000016:5bc93c34489b,5bc93c34489bdfbe6c50b126fb3f569682cec27b612ae39f732d26a68c203b0f,0.4894136786,d4_component_default_guard
1mlc:0000017:64073ff97aa4,64073ff97aa4c4aa4bc1f6ad55b04786cdec7e2a34fc7158d35eb7b6a7e386c9,0.1726384312,d4_component_default_guard
1mlc:0000018:227b10b41f5c,227b10b41f5cebbb88ea2b6c90a65225e39c7a2764650bf29bbf048bf0342c8a,0.05537459254,d4_component_default_guard
1mlc:0000019:714cf1fa8ac6,714cf1fa8ac6235971e1d8a00a5cac6025ee921b396b7201da403e68868a64f3,0.4714983702,d4_component_default_guard
1mlc:0000020:222f49d29f3a,222f49d29f3a1cfea591973d1b0bffd088643153d3891f19af4fe24a2952e492,0.9934853315,d4_component_default_guard
1mlc:0000021:f139cf612e1e,f139cf612e1e87ce2eb8cbbff0871396697ff41ff59399168f5f99573560331b,0.5887622237,d4_component_default_guard
1mlc:0000022:1dbe3ffeea57,1dbe3ffeea57412f4c97064a87f078df0e3332cc630574193479966a8fe91bad,0.6172638535,d4_component_default_guard
1mlc:0000023:54dd9859707a,54dd9859707af52c90fdd86b00c3fe0afc75c834909e69172b4e302f3fc6658a,0.7964169383,d4_component_default_guard
1mlc:0000024:fbdbe70cdf6f,fbdbe70cdf6f3537ebdd520404117d2cd4559919cdf3592a94a3982aa2962d5e,0.6685667634,d4_component_default_guard
1mlc:0000025:cce4d9a46cf4,cce4d9a46cf43a404aff9df8027a9737d7698b3986cf8ef930f863effbc7a3ee,0.4617263973,d4_component_default_guard
1mlc:0000026:5e6c0953def1,5e6c0953def10990e1e2e790c313edaeb746e7492c1b819b36dac2192f0fcf4f,0.5236156583,d4_component_default_guard
1mlc:0000027:4c9bc3f99f48,4c9bc3f99f4888fbb622fc653095ff31b09deffbb86424a3427a9a64905228d1,0.7817589641,d4_component_default_guard
1mlc:0000028:1eb4f10fb53c,1eb4f10fb53c018fcd51915a1ad106909b0fa8020d78612d2688081969a717e0,0.5,d4_component_default_guard
1mlc:0000029:54588e85bcf6,54588e85bcf6abfb0936bbe2dfb84d8c1e63eed3e9a374d67770501149037884,0.646579802,d4_component_default_guard
1mlc:0000030:47d71c8a6bec,47d71c8a6bec2249afacf0dbd93207acc9d05bd3b9bc8bd4c72add4d43a8ac0f,0.6604234576,d4_component_default_guard
1mlc:0000031:c4bed18b6054,c4bed18b6054fe988e3d6d06bda665b9c6bcdcfdfd36faf04d121624f66239f2,0.4682410359,d4_component_default_guard
