row_id,sequence_sha256,log-likelihood,d4_par1_if10_policy
3gbn_h1:0000000:296ebff95a6f,296ebff95a6f92264f69c6079e96950df6fa4569afb4741df1da3b9217e786a9,0.2605160823,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000001:715548fefd81,715548fefd8154e5648de117a92920761f7915a9a4f89d8d06e6c03c35460ff0,0.3794626991,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000002:a251db87cb38,a251db87cb38f5cbb0a4df529711b320b2a21ae27119adbf63546ea6c4fe2221,0.1967126206,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000003:603de4242aa9,603de4242aa92e3cf9ed57a1085d864f005a5f604da71607b358479e71273f81,0.3006362617,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000004:e0d620d3eded,e0d620d3ededf537f31973503c96670956a23a72bd1ec9220b29cc5a9ded35ba,0.2788971414,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000005:ac9af966e25f,ac9af966e25f9acd2269d2ea1ddae85878413adcba63f25d3c3b7271f5003adc,0.2539766679,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000006:6b62c463b971,6b62c463b9718ed7dfb9e91cd70a254ccc2d045664667807b4600b3945abb8af,0.1507599826,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000007:b9c16945d2fd,b9c16945d2fdacb0a7ff7e6c3a92e8db49e46e543d990028cd77083a9e929328,0.2467302903,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000008:004e73f4e135,004e73f4e135c0b6d515dedbcd74f8a2baef27a8362249fc8fd290e52ecfa758,0.3045245657,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000009:b4f2f4a68d59,b4f2f4a68d59b701b8c215696eb802ebd48c2958a3a52e4038a74e1d2322192f,0.3904206356,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000010:791a7e9c3e99,791a7e9c3e99e574f253812fbef739c47225ef0659c4ec33186a317b2889fbe3,0.2513255576,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000011:6b9a7afba896,6b9a7afba8960dbbd093143a266f72ab2ffc5de748343165054db9303f71db61,0.5540827215,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000012:31bb471851a2,31bb471851a246a450a74eb3d31cdf98c7e26eeace41bb15268f1389328058d2,0.3695652187,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000013:243254a57319,243254a57319217c13c3091ab4a88b39c01a39da659087846bcecea996d8a7a8,0.6546482841,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000014:bcc81f971966,bcc81f9719666a8738828704bf374167b19b089177fc45aff345e91295fdb44c,0.05178508349,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000015:afbe2056bb26,afbe2056bb26c7cfc4afb4367445a0fcc682f77db1842c2ef053dc3838287c4d,0.2606928187,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000016:3d837e4f9b49,3d837e4f9b49ff7a1df50158f7546d7924e8b666cab763b69d63e4a695c1e94f,0.4185224473,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000017:700cc2a4dca8,700cc2a4dca89f0029dd413401112b900a6baff4e8214fddb194e8dde82a4048,0.2707670455,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000018:8032d5ad41da,8032d5ad41da82edff9812723f223055b9ff262296ab17b12b6e36d25c01c4df,0.6673736175,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000019:419896295eaa,419896295eaaeb70f0ea283216091d79acfddf89b86e11b466d978fe587906d7,0.2401908835,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000020:f99907c4ca1a,f99907c4ca1a27d5c608568e70e1a0bbcad1cf8f334435a109bc4ac15696020d,0.1993637352,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000021:869566607a8b,869566607a8bddfeb3e6f771d45903db13e4d49572f0760587174683bcd82464,0.4004948735,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000022:aa87c5379b28,aa87c5379b28f6c6da82ff454dffa89bef5c724270616edbc827809158882f9d,0.5560268561,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000023:c3f1857ab481,c3f1857ab481483117cdc37e5646d39a3f344e4c8298124c9bdac5668edccf30,0.5088370542,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000024:1cfae4dedb6b,1cfae4dedb6b83321340705b26bad6b9d075c2af7f802c21aefa41982fdb259c,0.4346058667,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000025:b6fc1c3f0e2f,b6fc1c3f0e2f6ceea8a6dc9aaf75256e564650f29bf7f088be556cafbf0fd4a6,0.7469070256,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000026:e6df9697437f,e6df9697437f9846eac7b5e1b1c2c0c296f18f4e0aff67383eb140fc703d7b2d,0.6194768449,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000027:71bc3fb69af1,71bc3fb69af11901fb62f284ddd3d91ac83be111ed9f220df6f01389882d143d,0.5321668387,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000028:3d1fa5db6ecd,3d1fa5db6ecd8c918de2a45d81ed2b9ee3a23b051c09ababf8c78576923b072c,0.06981265484,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000029:a6d26c5eb3ec,a6d26c5eb3ec542da33468db9e20cfbf08e9cb93c659fb5350f183d9b328d163,0.2044892212,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000030:646280a59d48,646280a59d48bca1c1736a5948de5fbd86b840f7061f3f81f633f6e0bfb29b9b,0.4425591976,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000031:e7d02d26285b,e7d02d26285be0f1e860e9637071d380fc5a0f9c44712b4358b4ab0d94330715,0.3778720399,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000032:709e34b75017,709e34b750173bb738e490e08c775518df8659e1544d18919c52c5b7d56f38ea,0.3126546442,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000033:a60130e8a877,a60130e8a87700f80b210972bd76a693b95de833c01f7b7bf9cbc609302ec060,0.5597384175,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000034:c0107b22a563,c0107b22a5632168ff04e87dc6db2e44ce0d4661ba86c24c203c94df21e0412c,0.242665261,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000035:24b5320b07db,24b5320b07db964c8a61bda49827724b552027de6e322c48ff8d995f76964142,0.4098621408,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000036:5356ca066294,5356ca066294829ef40bdd8147f98bbe36f694654208986eb2c334229477c164,0.1848709807,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000037:60eb6d986d5d,60eb6d986d5dfb988cbdc44f606f1d117525228b535bf7112fe4d578b0df082e,0.3009897471,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000038:fffad1f4d101,fffad1f4d1016b7e48563ddd53db3271a9f052a5baf3a0c6129b07a1d659724a,0.3683280249,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000039:8d0674be4c05,8d0674be4c0549233b7b3fceba1ad9df723b90c69555cb00420229be2ac0ede1,0.1922940957,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000040:f5ff3a71edf2,f5ff3a71edf2592690ba441ffc4ee11878d68e0a65581ea5a4727eb0039ef0d3,0.6223046879,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000041:2c7705ed981b,2c7705ed981b8f2a4d668988536ebf4b725024cf13fc706b33f4a7f8f8af1ace,0.5795333982,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000042:516fcc0b2204,516fcc0b2204f7cd5ed511a2951b55af58e3de9bdd7f99a3bf2525b9e2f955e3,0.5509013732,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000043:a1da9c4d18cc,a1da9c4d18cc66312e3aaf661820bb7aecc7581cc88980aa3cafc04f57828229,0.2963944872,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000044:7911727d3537,7911727d3537fad4f4cf0b55d6e28f8aaaf76c8e282212d5626537475be60a8f,0.5120183825,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000045:1773267c92e6,1773267c92e6d1a0d771545744b835db4ae6c22f7a7cd79939e16c7dad003697,0.6551784973,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000046:718de75d4542,718de75d45426b67e587840f41461324bf09daaec7f43b805b9383fc9f886027,0.2297631701,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000047:0ac513df4c4d,0ac513df4c4d8e0fc772b8a6e8a3ca32b34617bfbccd514de474cec81c31c2c2,0.3921880523,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000048:ce5d8e283c4b,ce5d8e283c4bda40049294b88e2c6adf139a4c875d18dea49fcf2122ef72cb28,0.5457759003,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000049:30f40588a242,30f40588a242ae54e8ba907822cfcf5aefabdbee3449f1e13b471f1bc500fb1c,0.6770943801,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000050:190d15bc5a5b,190d15bc5a5bdd883aa08fc6b69a96b4d6762ed8b6eb44da1a3cefe67af99456,0.08624955762,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000051:db18b2659a05,db18b2659a05e171f187a7fa410997fc41261154010bffdf24779f071dbdfa95,0.6194768349,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000052:8c927c892087,8c927c892087656516269b5ea2d06e4ed98a0592c688d8ccc87159fbf91f6567,0.6484623551,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000053:c1d044eb0b59,c1d044eb0b59b04b3bbedc3d835022e2f9fa028671c6dac2618773b9b2f098d3,0.5300459439,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000054:f75dae499b8e,f75dae499b8e35b51c7fdc06f73294a77925421e584fbfbd7c63dccea0633523,0.3921880523,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000055:2300f3828fd5,2300f3828fd584cbb286e377c023518bf9e178cdf0769338207c664a319fdcab,0.3814068437,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000056:f35d8093f8ae,f35d8093f8ae47393e60f28494364b606df4f949449a96499bf23abd79820600,0.1265464791,if7_legacy_anchor_when_all_sources_strongly_concordant
3gbn_h1:0000057:2345af3b5ca6,2345af3b5ca62e9b102366418522e9b6a4944e6b8bafd0fb7a5f29e750e6d884,0.5491339763,if7_legacy_anchor_when_all_sources_strongly_concordant
