mutant_id,fraction_disordered,has_clash,iptm,ptm,ranking_score,pLDDT,ipLDDT,binding_score
mutant_0000,0.07,0.0,0.42,0.54,0.48,88.80884012539187,86.6105,6.0
mutant_0001,0.07,0.0,0.5,0.58,0.55,89.7001149425287,87.25434389140273,6.0
mutant_0002,0.07,0.0,0.68,0.72,0.73,91.20349007314525,89.82695454545454,6.736212784175028
mutant_0003,0.08,0.0,0.48,0.57,0.54,88.91247648902824,86.55127962085308,6.0
mutant_0004,0.07,0.0,0.41,0.52,0.47,88.80993730407528,85.78733644859813,6.0
mutant_0005,0.08,0.0,0.77,0.78,0.81,91.57665621734589,90.94883177570092,7.892638721552122
mutant_0006,0.07,0.0,0.72,0.74,0.76,90.83221525600844,89.20287037037036,6.0
mutant_0007,0.07,0.0,0.67,0.71,0.71,90.97036572622787,89.57246575342465,6.0
mutant_0008,0.08,0.0,0.77,0.78,0.81,91.37956112852673,90.67609302325582,6.741062895584309
mutant_0009,0.08,0.0,0.77,0.78,0.81,91.67805642633236,90.9774074074074,6.834059781839952
mutant_0010,0.08,0.0,0.78,0.78,0.81,91.80782654127486,91.33928909952607,7.463604383753318
mutant_0011,0.07,0.0,0.68,0.72,0.73,91.32947753396041,90.38353488372093,6.0
mutant_0012,0.07,0.0,0.76,0.77,0.8,91.41620689655164,90.65148837209303,7.60820721198136
mutant_0013,0.08,0.0,0.4,0.52,0.47,88.85928944618591,85.8675117370892,6.0
mutant_0014,0.08,0.0,0.4,0.52,0.46,88.84094043887141,85.8967441860465,6.0
mutant_0015,0.08,0.0,0.78,0.78,0.82,91.84277951933122,91.71354066985644,7.596864111563774
mutant_0016,0.07,0.0,0.76,0.77,0.8,91.6372204806687,90.45564814814816,7.457937723548645
mutant_0017,0.08,0.0,0.77,0.78,0.81,91.59639498432608,90.90511520737327,6.961054719791345
mutant_0018,0.07,0.0,0.77,0.78,0.81,91.48908045977008,90.83674418604652,7.235067727411065
mutant_0019,0.08,0.0,0.41,0.53,0.47,88.82683385579934,85.67643518518518,6.0
mutant_0020,0.07,0.0,0.77,0.78,0.81,91.42234064785794,90.70311627906976,6.447006577197571
