row_id,sequence_sha256,log-likelihood,d4_par1_if10_policy
4fqi_h3:0000000:7f8d1515ff11,7f8d1515ff11aab96573d4704674e63bab086a5cb0f0ad7b82419ba6946b61d8,0.6855677962,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h3:0000001:7bbdff61b22f,7bbdff61b22f0d9c784b59f6ecd00c42d81d9ffe55ab3eda87635625eefa3659,0.7170934081,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h3:0000002:435b5ee53fe3,435b5ee53fe32567a3a6d752d7e842e4e7757ceb80c9d41235232df0e46d2ff5,0.8986003399,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h3:0000003:18981780fbcc,18981780fbccec61b44f7fb1d92e5e26c81eaa08aaa6b56211d7d1725e1ac1b7,0.8134479523,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h3:0000004:b585bbabbc2d,b585bbabbc2d9ae079b0d055cbf8266655f3e23e64b1ae9cfe48caa828ac1579,0.7034974694,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h3:0000005:f633f1299e67,f633f1299e679802558435c0bb62645c6e90c8419f359c65a00726475b71e654,0.9184163809,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h3:0000006:53ece2671a7d,53ece2671a7d5cf3de4abaf611a7785e7590faed767f5762f457f5f4565782c5,0.6151806712,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h3:0000007:64f4ec50e598,64f4ec50e598ad4c2495a37d34fe61d7a810fb4aa4fbaf11b2d0cf8e5ee3ac64,0.4696016312,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h3:0000008:98069e0f330e,98069e0f330ed4c5ced9bf10c9962f20a5fd80054c687550f281d557f6535378,0.7292283177,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h3:0000009:0caf48feb926,0caf48feb926efc7ac0fde0b4d35e6771c000694c8e2f20ce5b4264af0ff872a,0.7536355257,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h3:0000010:e591e164edaa,e591e164edaa5929c345fa4b46ed07cc0fc760ed322f1109737ba333218b5f4c,0.7642922401,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h3:0000011:11df85672a4c,11df85672a4c90f93b7ca7a79007aab6f9699ea89130b2f276e426e34cac372b,0.881303966,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h3:0000012:f268bc108f95,f268bc108f951c9a7da6cb6bc7470f032f729882bfc142ca432d2fe5582438dc,0.9017113447,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h3:0000013:694b13c0b3e9,694b13c0b3e969cdf6bf46bab7a5bb3930d02d416e337a9365bb266deb4367f9,0.9115154147,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h3:0000014:71654fd7c7fc,71654fd7c7fc0dab34de84a05dcf83f10b2cad098b33b3308499ce2d22007b36,0.693269968,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h3:0000015:491a18e1c593,491a18e1c593f21e49cd881b52bdac0dd13d7f5ee5857f993ea9e5f80c14bb3e,0.9533791542,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h3:0000016:801da89855a6,801da89855a6f8640104449e9f4c484fa44c09daf3362d606010f36b09448275,0.7783250213,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h3:0000017:21cdcc08b465,21cdcc08b465aff8e35c4699768d6dfbfde4bb5463c787e18cf7c283755ac84b,0.9370651245,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h3:0000018:87e9ca6ed0a8,87e9ca6ed0a88ec7bda62435ab7160c1ddcd05c7ca302688df86e7397f83f220,0.6662915945,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h3:0000019:19836aa88914,19836aa88914d8f3a7502e52a75d471da382ecd8bded0103a3486e533ac706ca,0.8234503865,if6_consensus_when_public_stable_and_legacy_neutral
4fqi_h3:0000020:cc419d41c7d0,cc419d41c7d0e3cd8c33cb9b150dbbb65d3e6f1cd4778996c53d5db3f024d68e,0.8540394902,if6_consensus_when_public_stable_and_legacy_neutral
