row_id,sequence_sha256,log-likelihood,d4_par1_if10_policy
5a12_ang2:0000000:ebe9ee1d547f,ebe9ee1d547fa245dbb52d3dba1e626bbeafa2fc64edfa3b3f79835e9a7073bf,0.4453870356,if6_consensus_when_public_stable_and_legacy_neutral
5a12_ang2:0000001:2e29026839c4,2e29026839c4c8e7b24a8678a4dafe140444fe45a0a0108690f17be699472da9,0.5613290668,if6_consensus_when_public_stable_and_legacy_neutral
5a12_ang2:0000002:b86e570c286c,b86e570c286c2081cfe39ba842156d752d7d27ce2c4dcffb3b76bad9f7e639af,0.5298691988,if6_consensus_when_public_stable_and_legacy_neutral
5a12_ang2:0000003:96eb071addfd,96eb071addfda9ad84750d51ace25cd8a9656b7802a834e624b27e20686eb27f,0.4121597707,if6_consensus_when_public_stable_and_legacy_neutral
5a12_ang2:0000004:f9bf4774b5c1,f9bf4774b5c15e2cb53fb3e7a692885e9d3007f4996307cfe7e0d65ea48990de,0.5471897721,if6_consensus_when_public_stable_and_legacy_neutral
5a12_ang2:0000005:0de39ff5e135,0de39ff5e1358c19c5f0676d0632ca31fad550defaff94048d998e90c1fc9b19,0.5033580661,if6_consensus_when_public_stable_and_legacy_neutral
5a12_ang2:0000006:287e5ac87fcc,287e5ac87fcc4356c3c22648ab2eec8c6114c4e794b0bcd2b1a9a06e882dcdab,0.4977023602,if6_consensus_when_public_stable_and_legacy_neutral
5a12_ang2:0000007:588f249dcd7f,588f249dcd7fdc6f935d52eb2e79f1652e3014b945e9b36fe8bd9de313c0ce77,0.5012372136,if6_consensus_when_public_stable_and_legacy_neutral
5a12_ang2:0000008:8e4bd309ee39,8e4bd309ee39f6f8730e938daa77333663dbcb7e0a29adf690d4bd2035f5ba72,0.2591021359,if6_consensus_when_public_stable_and_legacy_neutral
5a12_ang2:0000009:7cfef3a6cfa9,7cfef3a6cfa9a569186c1c4c054364e148bdbc7fb2dc34da82e256ccdbe0224c,0.3114174604,if6_consensus_when_public_stable_and_legacy_neutral
5a12_ang2:0000010:21ae2fe308a3,21ae2fe308a3f7a3def3d6fc6267a64f889e4c74b9faffb9abe9e7e9dfd8e746,0.3103570044,if6_consensus_when_public_stable_and_legacy_neutral
5a12_ang2:0000011:6723b4ba0758,6723b4ba0758d8e795c318c6d2502c746decc8c160653cd1c8ca3af7a24cda24,0.6104630828,if6_consensus_when_public_stable_and_legacy_neutral
5a12_ang2:0000012:ad9e933b5005,ad9e933b50058629902423d3f7f72e5fde1af5807ee06e9ab0a4939f55bfc05b,0.3517143726,if6_consensus_when_public_stable_and_legacy_neutral
