row_id,sequence_sha256,log-likelihood,d4_par1_if10_policy
5a12_vegf:0000000:69cf71b47061,69cf71b470615e0ba240d75942898a1d440666cdf3391e9d69517fbc7ee5879b,0.3757504821,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000001:c392a9154065,c392a9154065ff70b85c225888ad579f32d82daca3a29a1feb539efc1eb528d5,0.3837724924,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000002:7da7f3db3abb,7da7f3db3abb5b7939b1773a23dcf34e7884ddea881e9ca2b5e3fe548a5ede54,0.473857522,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000003:b0ce1cdf4fb0,b0ce1cdf4fb0ab5e19cbf2be964407187f9faa708ab097e30f0a0acb613769f0,0.2116410881,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000004:bab264ba8e70,bab264ba8e70be11ec253b43fdecf1fba5118cdc9910bda23a57c1f2b6a3b2b8,0.2349107713,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000005:056333b11a13,056333b11a134fd2b7049524af6074b0224a87b086de8aeb50a75b54e1701d8d,0.4144929945,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000006:2ad123278d82,2ad123278d82895b85ad2274961fb1809c53b693057f71fb6037d84a44b8f98d,0.1017094702,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000007:32765b9027ee,32765b9027ee4917d55a5c5d98c80595352ed955e0b5bdefa0033320454b468b,0.5759297609,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000008:55f269cf6cf2,55f269cf6cf267cae88efc679b81e00c90d7a8eb38e1595c94756d404200a879,0.5238909721,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000009:d13953fd53d2,d13953fd53d2f685523800b9326b551976bd2f05907d293fe5c7cb7d77523a84,0.5713308454,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000010:5f97437e21ab,5f97437e21aba5b4ba38fca0cf25275942ab03dc78e09a47a20fe3e5c96097e5,0.5909522772,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000011:87d8acb32dde,87d8acb32ddef5bcb11258654edc9188c0bcde3a4f971eeb0e16b82289e583d1,0.479044348,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000012:911d3fcb1910,911d3fcb191015143ff71167879e56a765a83b0c10ce8ea436ff188edb9b573b,0.4408939481,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000013:01b092617547,01b0926175472a3e5a95fcabce45dd90a264a5e1eb8cc139952c201a6d3a636a,0.5143512487,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000014:fa20035da9f6,fa20035da9f698cfb6d403904315f978fe0acfeb74788b70cae9aee9b9aa5c97,0.3419905007,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000015:6e8dcc08a343,6e8dcc08a3432490bba0baf0e84eb1802795825d9df3363ce5be32bbb7de0601,0.4833055139,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000016:2bec8e0f4e74,2bec8e0f4e74a86f25eb9ec3b3c7c25b864efcb3ab413eef0e8dc734b544c8ee,0.3433997631,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000017:568d0f608191,568d0f6081913f2a668034959223ea886644c58133349cde59ed48fc75596efa,0.5112491846,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000018:ff97feae4108,ff97feae4108b140b29eb0c969eb00ae9d9d7a407415e16fcc4b03d3cf77a7f2,0.3523098528,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000019:a1c782ab067f,a1c782ab067fe9d3003e423d85ed856d025754c21449a6248822c36b4cb8dcdb,0.4887091517,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000020:117eb3c48360,117eb3c4836078f15ce6bf41da56b9ddc1509efdf140f4ea07361e961194c874,0.7138050795,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000021:7f521a1c5146,7f521a1c51463163e8fcfca79ea5063e198dd06628201f5c0b3623f5edafa68d,0.6698298454,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000022:04d5a166c21a,04d5a166c21af3d3b9432ad7c394a611c794a79a725ae3a080561d1d0d291978,0.6623749137,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000023:45299acfba0d,45299acfba0d71605effab374c761c48bf829e3ce68e7e122f756aede8763091,0.7236824632,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000024:c50f8c9109c6,c50f8c9109c6c78b5fb8bfb86113cb6904ddc4d787f81b4f92b4c866c4c8b187,0.5876834393,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000025:d3a9908fae04,d3a9908fae04a0937b9b9c7c87b6677577488e1d9031cbe062609e72fd984bd4,0.3420488536,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000026:bb932925bd35,bb932925bd35a189da1fe5d7eda7dd9eb1905258fc44f10de02f7ecfd20e8297,0.1724608094,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000027:49ba363c852d,49ba363c852d1ef0a8fcc1a295991e96fd5066e691dab83f900143fea8716358,0.3227860332,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000028:ffe89ed56779,ffe89ed5677978a03a7a7c425010ea37360ce5bda7df9a104b46071f3fb96440,0.183780849,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000029:0442a7f8f867,0442a7f8f86774f31ebf17a5d0e56ac45fb38ea4847f15bdc34795df093b244d,0.4498248696,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000030:bd04a028efa0,bd04a028efa0a894ec887818010b35f51eafd0d65370178730adcccbb9bdb5ee,0.4022014737,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000031:3d1050b4ddca,3d1050b4ddca936ddc2e53f1a5af0c210ece61855f5a824c72e13e8ec92a6d4b,0.4319587946,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000032:a322aaf481fb,a322aaf481fbb24875e6010ddaf874cdafc1b73c8461e1370e90833e07980707,0.3778935969,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000033:317964298284,317964298284abb7d1ccb767d6b1367823285ca0733723d4731f9d1fbbdbf076,0.3942128122,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000034:60fca0fb5f81,60fca0fb5f81a395fb1660b9060d2bed0f2b6836c744531ec31ed806f8152c7a,0.3771263957,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000035:991983cb9e41,991983cb9e417c913b5315c810869cb9eefa4435a7240f82588d2f9e8f7a00c6,0.4066210687,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000036:554c35765a9b,554c35765a9be4c8ad6067470481b23b11c828faed4cdb57742a6285a45423d7,0.3241077363,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000037:0ec663a0922c,0ec663a0922ca5178b0e594c14ae9edba91408c33520f233d61e2a1ed717eb76,0.2294779718,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000038:171f998e2e1e,171f998e2e1e9df0ac223980715ae39992dfadd7678ead82930beb1635bcdc55,0.3187792003,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000039:1891f3399d20,1891f3399d206db23e6516ca124efd9f767f01e6f8f8c968f28d87a23a7dd161,0.3871080875,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000040:58f0b2c005ee,58f0b2c005ee0016019714dac4df9dd1e0b91f7c0fc85af34009a161d9b557d1,0.1171864569,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000041:04cff60a7b80,04cff60a7b80c94f31cc3ce6dd1d775ee5b795a152b1576a494cbec032e9af9f,0.4616244137,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000042:0538a8e44992,0538a8e44992cac49059a87bb5a4d074fecdb0a4b2e632535e3d56751c44e5da,0.5797907114,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000043:e4a2dff31b35,e4a2dff31b35732f9a021190970f9b136c136514def3efeb376f3bb43c66aa4f,0.5405145288,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000044:a5599d0fca31,a5599d0fca31c53be62ee4624cbe3c02fe8bab4a36b4e875dd7597d30a7b9c9b,0.4140676856,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000045:f651648f1aa3,f651648f1aa3c0debd1e96dd0b7a1c6f8ff0d5f38b48c0c4a8c0bc20e81adc33,0.6248248816,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000046:a46484350574,a46484350574a409609c771af8b7a24900e984ea6d12784de4742327ea31f1b2,0.5967478156,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000047:c7f4bb8f0873,c7f4bb8f08731768db3c55313502551497f06d90cdc90a3b8d0e33b60e64fb80,0.5603193641,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000048:c2b9d84d9b4e,c2b9d84d9b4e415b1c42773f0d7345ed80985bbe1a9477d9461d8b6c177b3511,0.6421781182,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000049:f20806ffb03b,f20806ffb03b14c867d6483dd5f0de817cec329f1680e5a42644ebf7b1309d20,0.5001000762,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000050:b552d9c992ce,b552d9c992ce8c5dd59b49de0b1817e53a57af664052dc46dbccef434fe0d9f9,0.1757588387,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000051:db0289e70220,db0289e70220f3ffe836ef5c1af2ef55b176d31d3f61a7eb55bc2ab1d0150e0b,0.5359906554,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000052:55282eb3a074,55282eb3a0743c682bf75cf8dea7971f2f0d0d4d0c018aa6457173fd0be1e21b,0.3567669988,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000053:3f62e9f94030,3f62e9f940302c036d550d4be8dad03e29fe97cc7c74b1320d783ef85134d4c4,0.2780186534,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000054:afc4d549b15d,afc4d549b15d3f3da0d83387cbc22ed068ee90c6fb2c017056fa7cc0bb2117ca,0.220893085,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000055:df27acf5064d,df27acf5064dffa4f32c9b12a82786dae9916f6982a4a9e5d595bcf573189eeb,0.6463350654,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000056:16ae8f0dad5d,16ae8f0dad5d06420acb674745abdb81127f34d23fba6c80f3f8b9c28f90bc7f,0.234531343,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000057:9745f03fb54a,9745f03fb54a421a71b8cf0cada608bfa8c5fd883792c5a35e4f5a9bd3e2f62c,0.5760340095,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000058:ab1a8b633e7a,ab1a8b633e7a0763664a54014a91cc8d702c28b1262cb8460793c3df2e109311,0.4084306061,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000059:28559645a1c7,28559645a1c7cf9c64e5d973b88a3533998fb9ba78134c5078cb85e7ae903f45,0.3398599029,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000060:c93098bd77fb,c93098bd77fbf7707e75497c7be99a956c230b5250f3dbdd505af736be730f95,0.3874416351,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000061:c974412b578a,c974412b578a9ca99f128eb4e092b5be0c5ee34e318705226cff086cf9c444f8,0.4554536343,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000062:789370bfce6a,789370bfce6ab844c1ee466eef20deed25b3fa672c2a85375a9e8c3d738019e5,0.4386007488,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000063:e9ed726c0127,e9ed726c01275f53a348a71b5e0998c0e231b90b3c9f680f1e895cffef5772dc,0.3331345916,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000064:24191ba544f1,24191ba544f19a9771b950cc6eda4b85b34586affefa73382220ebbd9c26d71f,0.4003252089,if6_consensus_when_public_priors_concordant_with_d4
5a12_vegf:0000065:f1e729e89c45,f1e729e89c45c487fb090f1b237b6ea23dfd5a6a9f25c7c42f62e73512359687,0.4523640871,if6_consensus_when_public_priors_concordant_with_d4
