row_id,sequence_sha256,log-likelihood,d4_par1_if10_policy
aayl49_ML:0000000:2ce633a6892c,2ce633a6892c181c0fc07ac8ab4102cf5e74602440c09938b23d7992eed51963,0.05879505351,if6_consensus_when_public_stable_and_legacy_neutral
aayl49_ML:0000001:404fca1e2cc0,404fca1e2cc0d4abdfc37752a684a2f86855ac601ec33dcedc58f95b369d15ee,0.1501340419,if6_consensus_when_public_stable_and_legacy_neutral
aayl49_ML:0000002:e29f209074ab,e29f209074abcff3ee019ca2efa22af6bd9e67269ffc0ab5e1a666d3d70c77c9,0.1465408057,if6_consensus_when_public_stable_and_legacy_neutral
aayl49_ML:0000003:52db426cd4ba,52db426cd4badfbaa80ef78c54f1d75f3da30db54731ada042a835225b91126b,0.5888069272,if6_consensus_when_public_stable_and_legacy_neutral
aayl49_ML:0000004:662f3b9baf80,662f3b9baf80ac0c48708832b02fb08271ca3250a04d0c39d57f30ec977cffc0,0.5159368515,if6_consensus_when_public_stable_and_legacy_neutral
aayl49_ML:0000005:84c3f96f3898,84c3f96f389840de3c68ca6b03fd002a06b60231a25dba72ff936340414acceb,0.3703455627,if6_consensus_when_public_stable_and_legacy_neutral
aayl49_ML:0000006:864546959839,864546959839a3242b2585697abdf58fc59e3a5a66674b4e697e21e9702a0e6f,0.4896856844,if6_consensus_when_public_stable_and_legacy_neutral
aayl49_ML:0000007:704485e5b333,704485e5b3339f6aa5338ead19f56b0ea892db4016553add03d6391d9a35f51c,0.1416443288,if6_consensus_when_public_stable_and_legacy_neutral
aayl49_ML:0000008:15fc417ca462,15fc417ca462a9fdc79279d67a1c8141e66cc66b35927a02df105d91ea1f9c7b,0.1111855805,if6_consensus_when_public_stable_and_legacy_neutral
aayl49_ML:0000009:42341212b2c4,42341212b2c4ec517aa994066bdb093505da23c93c04672e3fe5e23196e4226e,0.2639261186,if6_consensus_when_public_stable_and_legacy_neutral
aayl49_ML:0000010:ce1c96c7e546,ce1c96c7e546a40cc68cf9fc939c64c2dddc0eebb8e30e51cdd9d1fa73f9b29a,0.1719913483,if6_consensus_when_public_stable_and_legacy_neutral
aayl49_ML:0000011:ad1d8853b3d2,ad1d8853b3d2c4b6b9cbb754c976491cd8b5521bea7e7159af5625dc850753bf,0.588732481,if6_consensus_when_public_stable_and_legacy_neutral
