row_id,sequence_sha256,log-likelihood,d4_par1_if10_policy
aayl49:0000000:5a52b76a4a1c,5a52b76a4a1c625b5f5fda11880ee52b3d9873257545b2c8f5cd73b5574afa2b,0.3603959084,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000001:bc8f607f8db3,bc8f607f8db386215c3f7772eff86f6c8adb867f94c67736154ab12ed67bb969,0.3665816486,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000002:23a2c43594b4,23a2c43594b4f88bbe1ecdea67928d2cd34d84294fcecc9e81084d506ea5c697,0.3770973384,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000003:4aae92375a6d,4aae92375a6d7755d1d8c72bcbfb9844527f81f04799e9f7003a2e63551a1817,0.1655455083,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000004:2ee863d572f5,2ee863d572f5a509bd275799b16ed1c553efb27d151dd0ad82015b372c137472,0.7338591218,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000005:bd489407e9e8,bd489407e9e823d76ac6f309688be44318a4ac07528dd46337a2725cf2e2884d,0.8673934937,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000006:647405a80ea1,647405a80ea13917fcfec643f2392a707e35e088605e82a9fd3d335576de1dc9,0.4928477705,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000007:48222d0b741f,48222d0b741f14824f5122f77f09995c4a45630b8d2abea402f35c2bafa5bb6d,0.7469264865,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000008:20598ace916f,20598ace916f58d3417984fcbf3939f900ec33c4b1d667163809b241755cac15,0.5886492133,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000009:a4927fae1572,a4927fae15729b404c6045e2ae9006bf77a1289daea1e6a834bac7557b486a0f,0.8966984153,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000010:e9187747f809,e9187747f8095f2256c31bb87d5c4e803bcb309b5a86445632fcc0ff04873b2b,0.6850691438,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000011:fa3f2c45ce5a,fa3f2c45ce5af3dcfa1126af861520fceaec8b11b7212eaf881aa46c95fc9b62,0.5757365227,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000012:a85e070bbee8,a85e070bbee85022d7be2677fa47c4c6625c3f5030ee9345661c365c38dc91ad,0.8212324977,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000013:6ff9a8217b50,6ff9a8217b5082f468c13633677d3342a1c40fb96d82d0f78a23982d81b0cdeb,0.61029917,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000014:11ef950e1a51,11ef950e1a5129b950dd1b7f79a53aa50f72271aa68207172672762b69491ad5,0.3226629496,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000015:21cf7771589a,21cf7771589a137833e781734950455ae13c20c987815b2fa8a4d6aa376ce483,0.4450630248,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000016:238b168481ee,238b168481ee8756fa19d22e2ce45d4a44905f14164156725894e4b59932dbd5,0.1588185281,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000017:cf8b25f7b9b4,cf8b25f7b9b4e7c7ebd297b1b0fb9f09c69b2651f22372f34aecdbe6c311829e,0.3386684954,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000018:aa7b0b9e19e6,aa7b0b9e19e6a6ebd099c134c8f8a9d3aa1bafed764ddfbbd1d0f0d5755f15f1,0.4769968092,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000019:9535b9332996,9535b93329963caf7ec46503d9db22ff8fbf12a666b7500db8489057020d99d2,0.5207608342,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000020:f3c75df9dd1a,f3c75df9dd1a73299fcfb5ce8d778009ade056456889565f58e98730142e69a6,0.3782571852,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000021:5e79a24f6fc9,5e79a24f6fc9e6967603b4f60505fd67b2a51fe12b4f5f5a8cb446d66f2a01b4,0.5980050564,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000022:8e825c2859af,8e825c2859af05476bed391062e094e5b8739278841a38dafb619414ea19720e,0.6914095283,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000023:e0ce514f5e05,e0ce514f5e052789bb535e45d607d5ce5dcfe10922b96272f21f10c9e1a2ecf4,0.9096110463,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000024:f31c3eeda65f,f31c3eeda65fd9b5f600cec384531202d71f95c6409e6984d7feeb611091a6d3,0.3544421196,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000025:a8961f54164d,a8961f54164d71f7ae27a072142f4f5d6f989187e48fc52794fcf1fe19fb4331,0.2683832049,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000026:3aedac068ee2,3aedac068ee24e1370148a14dd0c785f8a4855fbee625bff8b65962fed448441,0.3435398042,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000027:04e2a118782c,04e2a118782cb2b357dc1bb48e50d2126c75691c45f57cfc9df97acaa00cc885,0.2879455686,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000028:308dbb49358c,308dbb49358c790adce7210b05e7ba5ec8973989d524285c51041a248a8a641b,0.8977808952,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000029:e8097bece89e,e8097bece89e34579b2a00e3466c736961d73b40b20418fc778e22808470d289,0.4267377853,if6_consensus_when_public_priors_concordant_with_d4
aayl49:0000030:0786ae3321de,0786ae3321de314f060f857058f9167cd9e2fa936c1a63023d2607736a479423,0.05466635525,if6_consensus_when_public_priors_concordant_with_d4
