row_id,sequence_sha256,log-likelihood,d4_par1_if10_policy
g6_LC:0000000:e8c0d9fec17b,e8c0d9fec17b1c720a9cbf688d4024a438dbfb8d2e7413d9c2137e8517592309,0.5080311298,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000001:3e128e0bed12,3e128e0bed12302f1e486165d7021fea94620ad714473d237fa47e535ea325fd,0.3381354511,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000002:5a61b74393c4,5a61b74393c48c717795f9d96db2c4c736076d62fcbe15584263b59a5028e8f0,0.3280344307,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000003:e08afc95261e,e08afc95261ebaff73ffc58275f72c320047cb21bf77d6eaaf40983e75562a7d,0.3445934951,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000004:b3966e6ad857,b3966e6ad857fa516b30c5c3f04afa14114883acc4b8def05b242b68b9de17e3,0.4833581448,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000005:56da7dcc6257,56da7dcc62579158827bff12548771d3075c06739538e1804052897732ecd952,0.4611690938,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000006:3c81407e4213,3c81407e42133b05de8b8ca9c8b05277c7d7a246ef27b348a959f93acc66131b,0.3727438152,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000007:74fd511fda94,74fd511fda94df5068c963f1c21f5e3f966a86a589640add4ca49f5bb402919b,0.4861731827,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000008:ee799fb9afac,ee799fb9afacf2f52993a68e399b6255f6dd7a94b16e1ba3a311f7aece5754b8,0.9080973268,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000009:630e77c7eaac,630e77c7eaacbd26484066f32a1f4cb6affcdab19d03f15cc5b332811a3c0784,0.8049345613,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000010:a1349cafc31d,a1349cafc31d6bba3ea5d08a78d67eaa1f30ce2b3544e76ddbae651387d0b1be,0.5454545617,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000011:fd7e9a9aad1d,fd7e9a9aad1d099d8d1029b04e3cbab2e90267ae6cf7a56120c671396745a6e5,0.7486338615,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000012:efda27049df6,efda27049df6521d7706228dbc4ae80535190bf66feb266ce79dfcc08254c6d5,0.4921344519,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000013:8643d5babbcc,8643d5babbcc897ead915ca46bb98c2c17702217edd8c22e832be4310e7613e2,0.5166417956,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000014:7f9c064e379a,7f9c064e379adc220d2807303b05e56902eacac9f6a364492bd86942ca01c1c3,0.4321908057,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000015:2c57a95166d5,2c57a95166d5d27521a3196428c8dae537a50bb0be0315e71fdf5768a759ba4d,0.6029143929,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000016:ae2cc2a63454,ae2cc2a63454231de1de2b653bcd6a4c2b267e51f0aa715aacb29e8f36ee95dd,0.8464977741,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000017:bd7e3652d5a8,bd7e3652d5a83be75bfef92e9c6065ce3a4f5659b30d5e17b975c83384c73c57,0.3199205101,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000018:783999108cca,783999108cca9458ba9a85ba6e1b4a702a34759d01a4b186893f6a1cb4128dba,0.4523927867,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000019:19a5a57f48bd,19a5a57f48bd1823260b3bc855ce2fd7bc25d59ab91ebe036ce8d4a161eabf79,0.8405365348,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000020:b9a7e496a8d7,b9a7e496a8d7c38d62771688b890b4eda4d9ad515fc5ba385e9d98702640ba8a,0.5610200167,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000021:a29a5cc077fa,a29a5cc077fabd373056cc79763be5cff8e79deefcb289f7aa3a6d611c8f4cfa,0.7345587611,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000022:2da26c06fc81,2da26c06fc81fc8951e2975aff8da7ad671b4f81d30e368e1186a37a36bcbc09,0.8453386426,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000023:356c894f609b,356c894f609b73167e92d4c252255117efc0d4179eabb63f8d796635a59c2470,0.5692995191,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000024:7928da397b81,7928da397b8147dfbf908c0d6a0c04ad71d8fe9b962ef7121c86dbbeded32d66,0.7555887103,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000025:c4928f9e4d75,c4928f9e4d752050619a0534931e194298c59efb7f003a63f486d9c613923806,0.8334161639,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000026:97dfc6f076de,97dfc6f076de81d7dc5cdfa7c19b51f34c2dfe0e14f5146119f2ea65f32d4de5,0.6757740974,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000027:84fe75be3c63,84fe75be3c639236246b109c44f15294bf0ae8a3d67fabffd50303d9518f8db8,0.8781254888,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000028:2a9925c6b054,2a9925c6b05412892ca86871a49e080be07b765c8713ce4c1169b64a936a3ff3,0.7908594608,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000029:f45442a16a10,f45442a16a1027349ddd14df10f2542544348bb26c4a50a6c5abb5ffd32a41be,0.7156813741,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000030:b46716cced31,b46716cced317cad035a2802eb3799c501b7f322a653b23a0625f53b9a449a65,0.7771154046,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000031:b4918229d811,b4918229d811eb302ffb05760fe65545de9e0ec6f1f85a1ec3ac2747c5cc0971,0.3831759989,if6_consensus_when_public_stable_and_legacy_neutral
g6_LC:0000032:337494a3214f,337494a3214fcd42fe9b08566d45793654bb6f87d78c8575233f65be3e829f04,0.9208478332,if6_consensus_when_public_stable_and_legacy_neutral
